"datetime","lake","variable","unit","observation","depth","depth_id"
2024-05-15 05:00:00,"peter","do","degC",4.653625,6,NA
2024-05-15 05:00:00,"peter","do","degC",18.58725,0.5,NA
2024-05-15 05:00:00,"peter","do","degC",16.7930833333333,1,NA
2024-05-15 05:00:00,"peter","do","degC",16.1926666666667,1.5,NA
2024-05-15 05:00:00,"peter","do","degC",14.7428333333333,2,NA
2024-05-15 05:00:00,"peter","do","degC",12.3298333333333,2.5,NA
2024-05-15 05:00:00,"peter","do","degC",9.76818333333333,3,NA
2024-05-15 05:00:00,"peter","do","degC",8.02934166666667,3.5,NA
2024-05-15 05:00:00,"peter","do","degC",6.87215833333333,4,NA
2024-05-15 05:00:00,"peter","do","degC",5.922525,4.5,NA
2024-05-15 05:00:00,"peter","do","degC",5.2653,5,NA
2024-05-15 05:00:00,"peter","do","degC",4.67743333333333,6,NA
2024-05-15 05:00:00,"peter","do","degC",18.2959166666667,0.5,NA
2024-05-15 05:00:00,"peter","do","degC",16.9473333333333,1,NA
2024-05-15 05:00:00,"peter","do","degC",16.2335833333333,1.5,NA
2024-05-15 05:00:00,"peter","do","degC",14.8005833333333,2,NA
2024-05-15 05:00:00,"peter","do","degC",12.0033333333333,2.5,NA
2024-05-15 05:00:00,"peter","do","degC",9.97863333333333,3,NA
2024-05-15 05:00:00,"peter","do","degC",8.17770833333333,3.5,NA
2024-05-15 05:00:00,"peter","do","degC",6.792925,4,NA
2024-05-15 05:00:00,"peter","do","degC",6.06956666666667,4.5,NA
2024-05-15 05:00:00,"peter","do","degC",5.36340833333333,5,NA
2024-05-15 05:00:00,"peter","do","degC",4.793625,6,NA
2024-05-15 05:00:00,"peter","do","degC",18.0895833333333,0.5,NA
2024-05-15 05:00:00,"peter","do","degC",16.7728333333333,1,NA
2024-05-15 05:00:00,"peter","do","degC",16.16925,1.5,NA
2024-05-15 05:00:00,"peter","do","degC",14.8114166666667,2,NA
2024-05-15 05:00:00,"peter","do","degC",12.2295,2.5,NA
2024-05-15 05:00:00,"peter","do","degC",9.932625,3,NA
2024-05-15 05:00:00,"peter","do","degC",8.1112,3.5,NA
2024-05-15 05:00:00,"peter","do","degC",6.78825,4,NA
2024-05-15 05:00:00,"peter","do","degC",5.93040833333333,4.5,NA
2024-05-15 05:00:00,"peter","do","degC",5.31874166666667,5,NA
2024-05-15 05:00:00,"peter","do","degC",4.63968333333333,6,NA
2024-05-15 05:00:00,"peter","do","degC",17.79425,0.5,NA
2024-05-15 05:00:00,"peter","do","degC",16.90175,1,NA
2024-05-15 05:00:00,"peter","do","degC",16.20875,1.5,NA
2024-05-15 05:00:00,"peter","do","degC",14.7095,2,NA
2024-05-15 05:00:00,"peter","do","degC",12.2371666666667,2.5,NA
2024-05-15 05:00:00,"peter","do","degC",9.80799166666667,3,NA
2024-05-15 05:00:00,"peter","do","degC",8.262775,3.5,NA
2024-05-15 05:00:00,"peter","do","degC",6.83258333333333,4,NA
2024-05-15 05:00:00,"peter","do","degC",5.81101666666667,4.5,NA
2024-05-15 05:00:00,"peter","do","degC",5.23485833333333,5,NA
2024-05-15 05:00:00,"peter","do","degC",4.62025833333333,6,NA
2024-05-16 05:00:00,"peter","do","degC",17.5833636363636,0.5,NA
2024-05-16 05:00:00,"peter","do","degC",16.8246363636364,1,NA
2024-05-16 05:00:00,"peter","do","degC",16.2489090909091,1.5,NA
2024-05-16 05:00:00,"peter","do","degC",14.7654545454545,2,NA
2024-05-16 05:00:00,"peter","do","degC",12.1023636363636,2.5,NA
