variable,n,r2,rmse,run,overall_r2,overall_rmse
doc,30.0,-0.9885316740838046,0.858115151726618,19,0.25417430013563874,1.4279048268616992
wtemp,19824.0,0.9234441693857512,1.7205941606178523,19,0.25417430013563874,1.4279048268616992
do,708.0,0.8578433393155922,1.5482952513655643,20,-0.31162412117875343,1.4902424853852638
doc,30.0,-2.7135417014992904,1.1726636589246777,20,-0.31162412117875343,1.4902424853852638
wtemp,19824.0,0.920825998647438,1.7497685458655496,20,-0.31162412117875343,1.4902424853852638
do,708.0,0.8247741812584147,1.7189736685880197,21,0.2704932809730166,1.4383711636636
doc,30.0,-0.9341131659242032,0.8462920370428673,21,0.2704932809730166,1.4383711636636
wtemp,19824.0,0.9208188275848384,1.7498477853599135,21,0.2704932809730166,1.4383711636636
do,708.0,0.8574675443364652,1.550340380864936,22,-0.3799854326253885,1.4912672584501514
doc,30.0,-2.9210561544322524,1.2049827918511788,22,-0.3799854326253885,1.4912672584501514
wtemp,19824.0,0.9236323122196219,1.7184786026343386,22,-0.3799854326253885,1.4912672584501514
do,708.0,0.8583680574387517,1.545435133358887,23,-0.38485275456339796,1.488518478106742
doc,30.0,-2.9370732303064377,1.2074413936036257,23,-0.38485275456339796,1.488518478106742
wtemp,19824.0,0.9241469091774924,1.7126789073577136,23,-0.38485275456339796,1.488518478106742
do,708.0,0.8186059118228827,1.7489675012910872,24,0.18710630994019326,1.4586586726194344
doc,30.0,-1.1800237431372271,0.8984831269484194,24,0.18710630994019326,1.4586586726194344
wtemp,19824.0,0.9227367611349242,1.7285253896187958,24,0.18710630994019326,1.4586586726194344
do,708.0,0.8171364221385397,1.7560374823835727,25,0.21349988220396923,1.4734212283835302
doc,30.0,-1.0943743266862058,0.880656341321167,25,0.21349988220396923,1.4734212283835302
wtemp,19824.0,0.9177375511595739,1.7835698614458513,25,0.21349988220396923,1.4734212283835302
do,708.0,0.8551139316910368,1.5630882157340171,26,-0.21644229988938413,1.4712273130749056
doc,30.0,-2.4275830055392094,1.1266092282972362,26,-0.21644229988938413,1.4712273130749056
wtemp,19824.0,0.9231421741800202,1.723984495193464,26,-0.21644229988938413,1.4712273130749056
do,708.0,0.8479240328480094,1.6014023768964436,27,0.003691869156330241,1.451710413742802
doc,30.0,-1.7582781485500951,1.0106443288439728,27,0.003691869156330241,1.451710413742802
wtemp,19824.0,0.9214297231710764,1.74308453548799,27,0.003691869156330241,1.451710413742802
